,s,p,o,source,support
9017,natural language processing systems,relate,indexation and machine learning technique,heuristic,1
9018,indexation and machine learning technique,relate,natural language processing systems,heuristic,1
9019,ontology design pattern,become,ontology engineering field,heuristic,1
9020,reusing knowledge resource,become,ontology engineering field,heuristic,1
9021,odp,favour,method,heuristic,1
9022,bpm,impede,business process management system,heuristic,2
9023,bpm,impede,business process management (bpm),heuristic,2
9024,process modelling,capture,process knowledge,heuristic,2
9025,model,concern,semantic completenes,heuristic,2
9026,model effectivenes,relate,semantic quality,heuristic,1
9027,semantic quality,relate,model effectivenes,heuristic,1
9028,precision deficit,relate,complexity,heuristic,1
9029,complexity,relate,precision deficit,heuristic,1
9030,deployed ontology,relate,methodology,heuristic,1
9031,methodology,relate,deployed ontology,heuristic,1
9032,cognitively advantageous methodology,miss,ontologies,heuristic,3
9033,cognitively advantageous methodology,miss,missing negative constraint,heuristic,2
9034,missing negative constraint,exist,ontologies,heuristic,1
9035,navigation path,know,pizza ontology,heuristic,2
9036,company specific terminology,differ,corporate ontology,heuristic,3
9037,ontology engineering technique,consume,conceptual mismatch,heuristic,3
9038,folksonomy dataset,reflect,company specific terminology,heuristic,3
9039,step based interoperability standard,share,semantically interoperable product information,heuristic,3
9040,ontology construction,share,semantically interoperable product information,heuristic,3
9041,object oriented product modeling,share,semantically interoperable product information,heuristic,2
9042,step based interoperability standard,relate,ontology construction,heuristic,1
9043,ontology construction,relate,step based interoperability standard,heuristic,1
9044,empty model,fill,personal model,heuristic,4
9045,empty model,fill,world known concept,heuristic,2
9046,world known concept,work,personal model,heuristic,1
9047,semantic web technologies,fill,personal model,heuristic,3
9048,semantic web technologies,fill,world known concept,heuristic,1
9049,data scaling,relate,dynamicity,heuristic,1
9050,dynamicity,relate,data scaling,heuristic,1
9051,linked data paradigm,open,monitoring socio economic indicator,heuristic,2
9052,statistical data,ensure,space and time dimension,heuristic,3
9053,linked data stack,pro-,exploratory spatio temporal analysis component,heuristic,1
9054,method,prefetch,linked data structure,heuristic,2
9055,method,disclose,prefetching node data,heuristic,1
9056,linked data application,work,data space,heuristic,1
9057,theweb of data,work,data space,heuristic,1
9058,data consumer,relate,data publisher,heuristic,1
9059,data publisher,relate,data consumer,heuristic,1
9060,historypin,relate,historical mapping specialist,heuristic,1
9061,historical mapping specialist,relate,historypin,heuristic,1
9062,archivist,flourish,linked data,heuristic,2
9063,web of data,overcome,language barrier,heuristic,2
9064,linked data,overcome,language barrier,heuristic,3
9065,provenance tracking,relate,quality assessment,heuristic,1
9066,quality assessment,relate,provenance tracking,heuristic,1
9067,conflict resolution,relate,information fusion,heuristic,1
9068,information fusion,relate,conflict resolution,heuristic,1
9069,vocabulary,repair,inconsistency,heuristic,2
9070,robustnes,face,linked data,heuristic,1
9071,scalability,face,linked data,heuristic,1
9072,robustnes,relate,scalability,heuristic,1
9073,scalability,relate,robustnes,heuristic,1
9074,open domain corpu,crawl,reasoning method,heuristic,2
9075,open domain corpu,crawl,linked data document,heuristic,1
9076,method,crawl,linked data document,heuristic,1
9077,scientific experimentation scenario,relate,declarative model,heuristic,1
9078,declarative model,relate,scientific experimentation scenario,heuristic,1
9079,problem,relate,data interoperability,heuristic,1
9080,semantic data interoperability,resolve,data level heterogeneity,heuristic,2
9081,information provider,relate,query initiator,heuristic,1
9082,query initiator,relate,information provider,heuristic,1
9083,information provider,share,ontologies,heuristic,3
9084,information provider,share,semantic interoperability,heuristic,1
9085,peer to peer (p2p) network,share,semantic interoperability,heuristic,1
9086,query initiator,share,ontologies,heuristic,3
9087,query initiator,share,semantic interoperability,heuristic,1
9088,linked data resource,name,hyperlinks,heuristic,2
9089,statistical method,relate,web-searching,heuristic,1
9090,web-searching,relate,statistical method,heuristic,1
9091,statistical method,prove,semantic level,heuristic,2
9092,semantic level,interpret,statistical method,heuristic,1
9093,web-searching,prove,semantic level,heuristic,2
9094,semantic level,interpret,web-searching,heuristic,1
9095,information retrieval,name,fuzzy querying,heuristic,1
9096,web,shape,semantic similarity measure,heuristic,2
9097,conceptual framework,asses,accessibility,heuristic,2
9098,linked data,strengthen,precision,heuristic,2
9099,linked data,strengthen,accuracy,heuristic,2
9100,precision,relate,accuracy,heuristic,1
9101,accuracy,relate,precision,heuristic,1
9102,blogs,talk,hypertext,heuristic,3
9103,metadata,relate,kerisologi,heuristic,1
9104,kerisologi,relate,metadata,heuristic,1
9105,metadata,relate,resource description framework (rdf),heuristic,1
9106,kerisologi,relate,linked data,heuristic,1
9107,linked data,relate,kerisologi,heuristic,1
9108,d2r server,relate,resource description framework (rdf),heuristic,1
9109,resource description framework (rdf),relate,d2r server,heuristic,1
9110,linked data,exist,world wide web infrastructure,heuristic,2
9111,http post,exist,http get,heuristic,2
9112,server,read,linked data,heuristic,2
9113,technique,read,linked data,heuristic,2
9114,http post,exist,atom publishing protocol,heuristic,3
9115,web,clean,cleaned and integrated linked data,heuristic,2
9116,linked data,clean,cleaned and integrated linked data,heuristic,2
9117,web applications,clean,cleaned and integrated linked data,heuristic,1
9118,web applications,clean,linked data,heuristic,2
9119,service oriented middleware,network,service oriented approach,heuristic,1
9120,business processes,orient,business process modelling,heuristic,1
9121,efficient composition of web service,orient,business processes,heuristic,2
9122,business processes,orient,windows workflow,heuristic,1
9123,runtime quality architecture,orient,business processes,heuristic,1
9124,web service migration,relate,ontology evolution,heuristic,1
9125,ontology evolution,relate,web service migration,heuristic,1
9126,cloud service platform,exist,ontologies,heuristic,1
9127,cloud service platform,exist,service migration proces,heuristic,1
9128,domain-specific ontologies,replace,ontology concept,heuristic,3
9129,ontology alignment mechanism,replace,ontology concept,heuristic,3
9130,keyword,ensure,ontology concept,heuristic,1
9131,mechanism,ensure,ontology concept,heuristic,2
9132,dynamic service management,relate,service discovery,heuristic,1
9133,service discovery,relate,dynamic service management,heuristic,1
9134,recall ratio of service discovery,relate,precision ratio,heuristic,1
9135,precision ratio,relate,recall ratio of service discovery,heuristic,1
9136,linked data,hold,life science,heuristic,1
9137,linked data,hold,interoperable data common,heuristic,2
9138,minimum information checklist,emerge,life science,heuristic,1
9139,life science,standardise,reusability,heuristic,2
9140,vocabulary,assess,minimum information checklist,heuristic,4
9141,linked data,exist,wild linked data,heuristic,2
9142,linked data,bring,web scale data,heuristic,2
9143,spreading activation,relate,wikipediabased semantic relatedness measure,heuristic,1
9144,wikipediabased semantic relatedness measure,relate,spreading activation,heuristic,1
9145,wikipedia based relatedness measure,exist,wordnet,heuristic,4
9146,virtual document,accord,document similarity,heuristic,3
9147,wordnet entry,accord,document similarity,heuristic,2
9148,ontology concept,accord,document similarity,heuristic,2
9149,wordnet entry,relate,ontology concept,heuristic,1
9150,unsatisfiable concept,relate,inconsistent ontology,heuristic,1
9151,inconsistent ontology,relate,unsatisfiable concept,heuristic,1
9152,repairing modeling defect,repair,ontologies,heuristic,2
9153,algorithm,repair,missing is a relation,heuristic,2
9154,algorithm,repair,repaired ontology,heuristic,3
9155,ontology alignment,relate,ontologies,heuristic,3
9156,ontology based search,repair,ontology alignment,heuristic,2
9157,data integration,repair,ontology alignment,heuristic,2
9158,semantically enabled application,repair,ontologies,heuristic,3
9159,ontology based search,repair,ontologies,heuristic,2
9160,data integration,repair,ontologies,heuristic,2
9161,ontology based search,relate,data integration,heuristic,1
9162,data integration,relate,ontology based search,heuristic,1
9163,semantically enabled application,ne,ontology alignment,heuristic,1
9164,semantic integration research trend,reconcile,semantic based tool,heuristic,3
9165,semantic integration research trend,reconcile,autonomous source,heuristic,2
9166,semantic integration research trend,reconcile,ontologies,heuristic,3
9167,semantic integration research trend,refer,reconciling data,heuristic,1
9168,user query,target,autonomous data source,heuristic,1
9169,ontologies,compare,similarity flooding algorithm,heuristic,1
9170,data information retrieval technique,pay,temporal feature inclusion,heuristic,1
9171,keyword based linked data information retrieval framework,call,tldret,heuristic,1
9172,anonymous graph,follow,anonymous linked data graph,heuristic,1
9173,anonymous graph,follow,semantic,heuristic,1
9174,semantic,breach,anonymity,heuristic,3
9175,anonymity,follow,semantic,heuristic,3
9176,anonymous graph,breach,anonymity,heuristic,2
9177,anonymous graph,follow,linked data graph,heuristic,1
9178,pervasive environment,range,sensors,heuristic,2
9179,wireless device,range,sensors,heuristic,1
9180,pervasive environment,range,mobile pda phone,heuristic,2
9181,wireless device,range,mobile pda phone,heuristic,1
9182,pervasive environment,characterize,wireless device,heuristic,1
9183,music,relate,picture,heuristic,1
9184,picture,relate,music,heuristic,1
9185,information sharing,exchange,music,heuristic,2
9186,information sharing,exchange,picture,heuristic,2
9187,picture,relate,document,heuristic,1
9188,document,relate,picture,heuristic,1
9189,stock ticker,relate,document,heuristic,1
9190,document,relate,stock ticker,heuristic,1
